Portfolio,Alpha_FF3,t_FF3,Alpha_INV,t_INV
SMALL LoPRIOR,-0.94,-6.77,-0.92,-6.65
ME1 PRIOR2,-0.17,-2.47,-0.17,-2.47
ME1 PRIOR3,0.09,1.57,0.09,1.49
ME1 PRIOR4,0.26,4.23,0.26,4.12
SMALL HiPRIOR,0.45,5.18,0.45,5.14
ME2 PRIOR1,-0.82,-6.46,-0.8,-6.33
ME2 PRIOR2,-0.16,-2.14,-0.16,-2.17
ME2 PRIOR3,0.07,1.19,0.06,1.07
ME2 PRIOR4,0.21,3.95,0.21,3.83
ME2 PRIOR5,0.4,4.82,0.4,4.83
ME3 PRIOR1,-0.67,-4.83,-0.66,-4.73
ME3 PRIOR2,-0.2,-2.62,-0.2,-2.62
ME3 PRIOR3,-0.04,-0.7,-0.05,-0.77
ME3 PRIOR4,0.03,0.44,0.02,0.34
ME3 PRIOR5,0.42,5.0,0.42,5.0
ME4 PRIOR1,-0.68,-4.45,-0.67,-4.37
ME4 PRIOR2,-0.16,-1.9,-0.17,-2.03
ME4 PRIOR3,-0.04,-0.7,-0.05,-0.88
ME4 PRIOR4,0.12,1.99,0.11,1.77
ME4 PRIOR5,0.37,3.99,0.37,4.02
BIG LoPRIOR,-0.54,-3.51,-0.52,-3.38
ME5 PRIOR2,-0.1,-1.07,-0.09,-1.07
ME5 PRIOR3,-0.07,-1.24,-0.07,-1.27
ME5 PRIOR4,0.09,1.45,0.07,1.26
BIG HiPRIOR,0.32,3.43,0.32,3.48
